observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
       2400507  lsst-dp0.2   208816122          X05  59862.237806  59862.238153    30.000                20    C/2022 R6        true  59862.237806  -1050.297582  54.469724  -41.457354   9.4575   8.9166   5.242  120.131       292.950  133.475   88.259     0.322    0.313   53.346  18.857
       2400944  lsst-dp0.2   208852073          X05  59862.255291  59862.255638    30.000                20    C/2022 R6        true  59862.255291  -1050.280097  54.468766  -41.458569   9.4574   8.9165   5.242  120.133       292.951  133.496   88.260     0.322    0.313   53.352  18.857
       2401510  lsst-dp0.2   209013131          X05  59862.330273  59862.330620    30.000                20    C/2022 R6        true  59862.330273  -1050.205115  54.464650  -41.463754   9.4571   8.9160   5.241  120.145       292.954  133.587   88.266     0.322    0.313   53.373  18.857
       2402020  lsst-dp0.2   209820152          X05  59863.318901  59863.319248    30.000                20    C/2022 R6        true  59863.318901  -1049.216487  54.411769  -41.531764   9.4527   8.9096   5.234  120.300       292.994  134.779   88.342     0.322    0.313   53.636  18.854
       2402334  lsst-dp0.2   226883127          X05  59886.065165  59886.065512    30.000                20    C/2022 R6        true  59886.065165  -1026.470223  52.789531  -42.749501   9.3535   8.8074   5.231  120.740       293.915  163.191   90.199     0.334    0.302   47.635  18.792
       2415872  lsst-dp0.2   209060051          X05  59862.353581  59862.353928    30.000                20    C/2022 R6        true  59862.353581  -1050.181807  54.463372  -41.465359   9.4570   8.9158   5.241  120.149       292.955  133.615   88.268     0.322    0.313   53.380  18.857
       2490329  lsst-dp0.2   209016173          X05  59862.331637  59862.331984    30.000                20    C/2022 R6        true  59862.331637  -1050.203751  54.464575  -41.463848   9.4571   8.9160   5.241  120.146       292.954  133.588   88.266     0.322    0.313   53.374  18.857
       2490427  lsst-dp0.2   209849082          X05  59863.333979  59863.334326    30.000                20    C/2022 R6        true  59863.333979  -1049.201409  54.410915  -41.532787   9.4527   8.9095   5.234  120.303       292.994  134.797   88.343     0.322    0.313   53.639  18.854
       2525965  lsst-dp0.2   187559095          X05  59827.293878  59827.294225    30.000                20    C/2022 R6        true  59827.293878  -1085.241510  55.092175  -38.610493   9.6113   9.2375   5.700  108.876       291.574   96.347   86.235     0.344    0.329  -82.118  18.990
       2545316  lsst-dp0.2   516409183          X05  60336.088918  60336.089265    30.000                20    C/2022 R6        true  60336.088918   -576.446470  71.571425  -38.132015   7.6011   7.3362   7.278  101.940       316.764  234.369   77.270     0.193    0.171   17.879  17.674
       2545663  lsst-dp0.2   516415152          X05  60336.091727  60336.092074    30.000                20    C/2022 R6        true  60336.091727   -576.443661  71.571342  -38.131723   7.6011   7.3362   7.278  101.938       316.764  234.371   77.269     0.193    0.171   17.871  17.674
        341053  lsst-dp0.2  1144307005          X05  61258.408926  61258.409273    30.000                23    C/2019 Q3        true  61258.408926   2907.619969  55.640075  -44.837327  17.9542  17.8343   3.227   95.167       101.019   71.466   89.079  1228.316  261.168  -20.323  27.498
       1006053  lsst-dp0.2  1145164015          X05  61259.330003  61259.330350    30.000                23    C/2019 Q3        true  61259.330003   2908.541046  55.670361  -44.880097  17.9583  17.8313   3.223   95.573       101.030   72.232   89.000  1229.191  261.207  -20.310  27.498
       1006259  lsst-dp0.2  1145199005          X05  61259.346491  61259.346838    30.000                23    C/2019 Q3        true  61259.346491   2908.557534  55.670878  -44.880873  17.9583  17.8313   3.223   95.580       101.031   72.246   88.998  1229.206  261.207  -20.310  27.498
       1017863  lsst-dp0.2  1150178026          X05  61265.316299  61265.316646    30.000                23    C/2019 Q3        true  61265.316299   2914.527342  55.842122  -45.163879  17.9848  17.8127   3.198   98.173       101.101   77.285   88.488  1234.710  261.414  -20.248  27.502
       1911519  lsst-dp0.2  1136091126          X05  61249.356299  61249.356646    30.000                23    C/2019 Q3        true  61249.356299   2898.567342  55.291981  -44.431775  17.9141  17.8654   3.250   91.119       100.912   64.057   89.878  1219.411  260.694  -20.494  27.492
       1912233  lsst-dp0.2  1136113074          X05  61249.366288  61249.366635    30.000                23    C/2019 Q3        true  61249.366288   2898.577331  55.292407  -44.432211  17.9141  17.8654   3.250   91.123       100.912   64.065   89.877  1219.421  260.694  -20.494  27.492
       1912943  lsst-dp0.2  1138129137          X05  61251.337858  61251.338205    30.000                23    C/2019 Q3        true  61251.337858   2900.548901  55.375966  -44.517994  17.9228  17.8584   3.246   92.013       100.936   65.661   89.702  1221.405  260.811  -20.450  27.493
       1913096  lsst-dp0.2  1138133137          X05  61251.339687  61251.340034    30.000                23    C/2019 Q3        true  61251.339687   2900.550730  55.376040  -44.518075  17.9228  17.8584   3.246   92.013       100.936   65.663   89.702  1221.406  260.811  -20.450  27.493
       1926441  lsst-dp0.2  1141193111          X05  61254.340918  61254.341265    30.000                23    C/2019 Q3        true  61254.340918   2903.551961  55.495029  -44.651493  17.9362  17.8480   3.239   93.360       100.971   68.110   89.436  1224.380  260.974  -20.390  27.495
       1926554  lsst-dp0.2  1141198072          X05  61254.343152  61254.343499    30.000                23    C/2019 Q3        true  61254.343152   2903.554195  55.495112  -44.651595  17.9362  17.8480   3.239   93.361       100.971   68.112   89.436  1224.383  260.975  -20.390  27.495
       2404884  lsst-dp0.2   903654128          X05  60898.341957  60898.342304    30.000                23    C/2019 Q3        true  60898.341957   2547.553000  49.565181  -45.015311  16.3477  16.1116   3.482  101.725        96.333   80.069   93.087  1146.141  254.026  -26.154  26.870
       2419257  lsst-dp0.2  1139328061          X05  61252.431909  61252.432256    30.000                23    C/2019 Q3        true  61252.431909   2901.642952  55.420409  -44.566281  17.9277  17.8546   3.244   92.505       100.949   66.551   89.605  1222.495  260.873  -20.427  27.494
         60332  lsst-dp0.2   430055033          X05  60196.236560  60196.236907    30.000                24    C/2022 O1        true  60196.236560    570.675810  51.948935  -38.249077   8.2455   7.7985   6.455  113.064        36.595  101.676  357.199     1.931    1.251   39.526  19.422
         86755  lsst-dp0.2   418968178          X05  60177.294801  60177.295148    30.000                24    C/2022 O1        true  60177.294801    551.734051  52.670800  -37.386524   8.1956   7.9072   6.908  103.075        35.531   84.419  356.494     1.896    1.149   42.289  19.426
         86879  lsst-dp0.2   419001133          X05  60177.309819  60177.310166    30.000                24    C/2022 O1        true  60177.309819    551.749069  52.670570  -37.387211   8.1957   7.9071   6.907  103.083        35.532   84.431  356.494     1.896    1.150   42.287  19.426
        135152  lsst-dp0.2   400330090          X05  60145.362039  60145.362386    30.000                24    C/2022 O1        true  60145.362039    519.801289  51.854469  -36.236121   8.1144   8.1343   7.171   85.293        33.708   59.947  357.070     1.745    0.990   47.167  19.444
